stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
79406,Montgat-Nord,41.468786,2.28669661,2
79407,El Masnou,41.4770363,2.3103772,2
79408,Ocata,41.4790211,2.31953267,2
79409,PremiÃ  De Mar,41.4877522,2.35485608,2
79410,Vilassar De Mar,41.5006285,2.38986104,2
79412,Cabrera De Mar-Vilassar De Mar,41.5067718,2.40162431,1
79500,MatarÃ³,41.5333852,2.44553025,1
79501,Sant Andreu De Llavaneres,41.5555467,2.49826463,2
79502,Caldes D'estrac,41.5686082,2.52598143,2
79600,Arenys De Mar,41.577699,2.54933744,2
79601,Canet De Mar,41.5866691,2.58128887,2
79602,Sant Pol De Mar,41.6017549,2.62459756,2
79603,Calella,41.6146911,2.66599517,1
79604,Pineda De Mar,41.6224449,2.69355042,2
79605,Malgrat De Mar,41.641602,2.74127903,2
79606,Blanes,41.6736157,2.7692697,2
79607,Tordera,41.7071687,2.71957063,2
79608,Santa Susana,41.6300971,2.7159698,2
80003,Etxarri-Aranatz,42.911138,-2.071245,2
80005,Uharte-Arakil,42.920606,-1.974814,2
80100,Pamplona/IruÃ±a,42.824877,-1.661419,1
80108,Tafalla,42.525756,-1.671467,2
80109,Olite-Erriberri,42.484989,-1.649964,2
80114,Marcilla De Navarra,42.334851,-1.717418,2
80115,Villafranca De Navarra,42.280734,-1.745716,2
81100,LogroÃ±o,42.457459,-2.442193,1
81102,Agoncillo,42.443585,-2.291701,2
81105,Alcanadre,42.407437,-2.122094,2
81106,FÃ©culas-Navarra,42.411148,-2.098196,2
81108,Calahorra,42.310458,-1.957755,2
81109,RincÃ³n De Soto,42.230011,-1.847473,2
81110,Alfaro,42.186525,-1.747985,2
81200,CastejÃ³n De Ebro,42.172719,-1.692114,2
81202,Tudela De Navarra,42.059434,-1.597931,1
81203,Ribaforada,41.997038,-1.515097,2
81205,Cortes De Navarra,41.915076,-1.420439,2
81206,Gallur,41.867164,-1.321342,2
81207,Luceni,41.826116,-1.243536,2
